%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1714581008193199323,481,1714581000821161540,robot/map,0.9123295009939855,1.227691474409913,0.0,0.0,0.0,-0.7139649589171506,0.7001814318006665
1714581008193199323,482,1714581000921196985,robot/map,0.933291019601203,1.2391132269916851,0.0,0.0,0.0,-0.7131824087721925,0.7009784959739446
1714581008193199323,483,1714581001020559430,robot/map,0.947677068735865,1.2487921006469156,0.0,0.0,0.0,-0.7127011214500073,0.7014678264068153
1714581008193199323,484,1714581001120764540,robot/map,0.955477290833357,1.2374852883064524,0.0,0.0,0.0,-0.712173119709763,0.702003880019807
1714581008193199323,485,1714581001221050540,robot/map,0.9622326445352994,1.252289005052879,0.0,0.0,0.0,-0.7118756135311344,0.7023055680112974
1714581008193199323,486,1714581001320441540,robot/map,0.9558681842873409,1.2540544507911604,0.0,0.0,0.0,-0.7113818711912586,0.7028056867587396
1714581008193199323,487,1714581001420118985,robot/map,0.9636690098161517,1.2225642501760403,0.0,0.0,0.0,-0.7125431030493227,0.701628339148899
1714581008193199323,488,1714581001520284095,robot/map,0.9652254406539831,1.2501381977756931,0.0,0.0,0.0,-0.7121068405394423,0.7020711129628774
1714581008193199323,489,1714581001620185985,robot/map,0.9579652604613962,1.2627574099765722,0.0,0.0,0.0,-0.7110546332662296,0.7031367637313722
1714581008193199323,490,1714581001720168540,robot/map,0.9410377957145271,1.2505545632359854,0.0,0.0,0.0,-0.7112613304169968,0.7029276775411847
1714581008193199323,491,1714581001819980650,robot/map,0.9319335566332796,1.2539090024113413,0.0,0.0,0.0,-0.7116033697198343,0.7025814146441514
1714581008193199323,492,1714581001919028540,robot/map,0.9182048803716676,1.249624945424745,0.0,0.0,0.0,-0.7116992229278535,0.7024843173223795
1714581008193199323,493,1714581002019226205,robot/map,0.905171225011518,1.2292322706972152,0.0,0.0,0.0,-0.7122485844753573,0.7019273138387263
1714581008193199323,494,1714581002218396975,robot/map,0.9017315516733194,1.2175249263440011,0.0,0.0,0.0,-0.6854574185303456,0.728112716124169
1714581008193199323,495,1714581002317462310,robot/map,0.9030353591291462,1.2252474618877935,0.0,0.0,0.0,-0.6624337149725471,0.7491205332038832
1714581008193199323,496,1714581002416034870,robot/map,0.9096749370673666,1.2443657301762967,0.0,0.0,0.0,-0.6361646072773419,0.7715533633182252
1714581008193199323,497,1714581002515979315,robot/map,0.8992330414228715,1.233630382135366,0.0,0.0,0.0,-0.6085483009816854,0.7935168337044299
1714581008193199323,498,1714581002615297540,robot/map,0.8980593285276308,1.2294599633750203,0.0,0.0,0.0,-0.5809589552851512,0.8139328548928257
1714581008193199323,499,1714581002714555985,robot/map,0.9041353789255574,1.231867849582624,0.0,0.0,0.0,-0.5542367383064927,0.8323590799116571
1714581008193199323,500,1714581002814822985,robot/map,0.9006333070722591,1.2141635061189362,0.0,0.0,0.0,-0.5232194060481119,0.8521980128671158
1714581008193199323,501,1714581002914657430,robot/map,0.9005795698924427,1.2634590422397758,0.0,0.0,0.0,-0.4929773483165,0.8700421449831223
1714581008193199323,502,1714581003014396320,robot/map,0.9079927784038266,1.238031025799207,0.0,0.0,0.0,-0.4636588129289588,0.8860138290079387
1714581008193199323,503,1714581003114611320,robot/map,0.9056304114331438,1.2412519098312853,0.0,0.0,0.0,-0.4321995728322102,0.9017779822349041
1714581008193199323,504,1714581003214935875,robot/map,0.9002157119472984,1.212041450074299,0.0,0.0,0.0,-0.3997834878156975,0.9166096022134593
1714581008193199323,505,1714581003314938320,robot/map,0.9048161204017393,1.2220137518465055,0.0,0.0,0.0,-0.3691769977569593,0.9293591040750384
1714581008193199323,506,1714581003415490875,robot/map,0.9047327222445013,1.2313123498359932,0.0,0.0,0.0,-0.3356586112132102,0.9419837030004389
1714581008201098662,507,1714581003515198875,robot/map,0.9141849917066317,1.187798235597585,0.0,0.0,0.0,-0.3047657819065183,0.9524273296052085
1714581008201098662,508,1714581003614397210,robot/map,0.9045904021918689,1.2211433232760638,0.0,0.0,0.0,-0.2708576094371913,0.9626194239729271
1714581008201098662,509,1714581003714775210,robot/map,0.9068373648502442,1.238392849349211,0.0,0.0,0.0,-0.23507020107797316,0.9719783951123406
1714581008201098662,510,1714581003815189545,robot/map,0.9096108213945673,1.242651221027463,0.0,0.0,0.0,-0.20269744008608648,0.9792414144543455
1714581008201098662,511,1714581003915383100,robot/map,0.9002676534597233,1.2348706780315568,0.0,0.0,0.0,-0.16763613545141479,0.9858489367499034
1714581008201098662,512,1714581004014607990,robot/map,0.9066950074533767,1.2378203871528453,0.0,0.0,0.0,-0.13195284529516008,0.9912559944931034
1714581008201098662,513,1714581004116110100,robot/map,0.9042647940074768,1.2169004927457445,0.0,0.0,0.0,-0.09873506930059404,0.9951137553517221
1714581008201098662,514,1714581004316640545,robot/map,0.9006211925710057,1.2551195255227345,0.0,0.0,0.0,-0.040962365645711644,0.9991606900797825
1714581008201098662,515,1714581004719130215,robot/map,0.903990257166076,1.2304625475048934,0.0,0.0,0.0,-0.009870844750960896,0.9999512820252306
1714581008201098662,516,1714581004819892215,robot/map,0.9008230254011017,1.2285900912041496,0.0,0.0,0.0,-0.005537338568354136,0.9999846688232672
1714581008201098662,517,1714581005021589990,robot/map,0.9012203561354316,1.2356190112272663,0.0,0.0,0.0,-0.00135031459966391,0.9999990883248254
