%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1714581008194625606,37244,1714581007373934910,robot/map,,1.169545399053014,1.3046161162980408,0.0,0.0,0.0,0.027963343417507915,0.9996089492521135,0.02422423502872206,0.16351825250771548,0.0,0.0,0.0,0.19403255311933262
1714581008194642962,37245,1714581007381954445,robot/map,,1.169797229704931,1.3063079314974695,0.0,0.0,0.0,0.02893312359970564,0.9995813495452804,0.02470365011021247,0.16634988622529456,0.0,0.0,0.0,0.1940335646802759
1714581008194823012,37246,1714581007389977965,robot/map,,1.1700334594065112,1.3080092682442717,0.0,0.0,0.0,0.02992811958260043,0.9995520535010919,0.024163310134111438,0.16824178045275595,0.0,0.0,0.0,0.1965595041233684
1714581008194859622,37247,1714581007397848814,robot/map,,1.1702570247202997,1.3096819024330264,0.0,0.0,0.0,0.030908988231076136,0.9995222030783164,0.02325992075648231,0.167752599664115,0.0,0.0,0.0,0.19641203169393773
1714581008194885297,37248,1714581007405881375,robot/map,,1.1704764468758861,1.3113929636297945,0.0,0.0,0.0,0.03192635598543239,0.9994902239609407,0.02260106815756402,0.16942935967046327,0.0,0.0,0.0,0.19999304355697195
1714581008194934557,37249,1714581007413989293,robot/map,,1.1707371457776525,1.310626243109932,0.0,0.0,0.0,0.028484542969441053,0.9995942330825154,0.02433547916710138,0.04637865384210739,0.0,0.0,0.0,-0.24434206812878387
1714581008194967319,37250,1714581007421955251,robot/map,,1.1716662549280026,1.3127321782406187,0.0,0.0,0.0,0.031436360749915356,0.9995057554725741,0.058623197101053154,0.12848608345538803,0.0,0.0,0.0,0.17314342265355065
1714581008194985410,37251,1714581007429944161,robot/map,,1.1719258171377587,1.3145640364234952,0.0,0.0,0.0,0.03256136793355225,0.9994697380702908,0.042289709038331194,0.1558359508715168,0.0,0.0,0.0,0.19913007619864773
1714581008195067662,37252,1714581007437910080,robot/map,,1.1721933342175175,1.3164154728416035,0.0,0.0,0.0,0.03370020934976187,0.9994319866252942,0.034520708507105875,0.17048979634117667,0.0,0.0,0.0,0.21351173982242383
1714581008195083132,37253,1714581007445927786,robot/map,,1.1724597857366332,1.3182967261717697,0.0,0.0,0.0,0.03485491364127629,0.9993923828982584,0.0305829302093405,0.1793075646788983,0.0,0.0,0.0,0.22229420140928233
1714581008195266313,37254,1714581007453973287,robot/map,,1.1727226816078289,1.3201850970774445,0.0,0.0,0.0,0.03606879290906914,0.9993493093899063,0.028436258664453068,0.18407232762318565,0.0,0.0,0.0,0.23261143231228903
1714581008201991143,37255,1714581007462086155,robot/map,,1.1729663302296063,1.3220700289280778,0.0,0.0,0.0,0.037309484209279514,0.999303758818127,0.02640056042109616,0.18628275634325883,0.0,0.0,0.0,0.24045844286793902
1714581008202003502,37256,1714581007469916931,robot/map,,1.1732208430554216,1.3239734576045061,0.0,0.0,0.0,0.03856550507948186,0.9992560741961815,0.025925921501315334,0.18831281199304656,0.0,0.0,0.0,0.24592180106980416
1714581008202026017,37257,1714581007477921622,robot/map,,1.1734983733068634,1.325955067727813,0.0,0.0,0.0,0.03985423712882041,0.9992055042797151,0.026839473322743997,0.1932369121618621,0.0,0.0,0.0,0.2519332945584042
1714581008202042717,37258,1714581007485882062,robot/map,,1.1737639692641446,1.3279592909334896,0.0,0.0,0.0,0.041126326457032125,0.9991539547397836,0.02669953452543508,0.1968296163647673,0.0,0.0,0.0,0.25327999429953235
1714581008202056280,37259,1714581007493974508,robot/map,,1.174028970348023,1.3299974263802323,0.0,0.0,0.0,0.042306689335420575,0.9991046712119187,0.026599821456631548,0.2003215805195184,0.0,0.0,0.0,0.24477913347319
1714581008202068005,37260,1714581007501900947,robot/map,,1.1742768003454087,1.3319920352115207,0.0,0.0,0.0,0.04341885118230715,0.9990569570159694,0.025691410597606663,0.19989123182417545,0.0,0.0,0.0,0.23370806233051283
1714581008202080377,37261,1714581007509903902,robot/map,,1.1745356205535562,1.3340043964111574,0.0,0.0,0.0,0.044541059542850356,0.9990075545333981,0.02578671570617794,0.2005636758939262,0.0,0.0,0.0,0.22918356167410983
1714581008202086782,37262,1714581007517990782,robot/map,,1.1747257044769066,1.3368161860814722,0.0,0.0,0.0,0.04032447123447043,0.9991866377307397,0.022397554020609153,0.24087132146270374,0.0,0.0,0.0,-0.30744748501409286
1714581008202111683,37263,1714581007525856191,robot/map,,1.174722497955977,1.337272134500879,0.0,0.0,0.0,0.044638641842366135,0.9990031990211388,0.011038450963821271,0.14323308170168486,0.0,0.0,0.0,0.27808346871322265
1714581008202143565,37264,1714581007533860791,robot/map,,1.174997862222904,1.33941554928576,0.0,0.0,0.0,0.04580911301976282,0.9989502115542809,0.01928743882826522,0.17878728009489817,0.0,0.0,0.0,0.25620873507827985
1714581008202152945,37265,1714581007541901012,robot/map,,1.1752690720947319,1.3415846492895593,0.0,0.0,0.0,0.046979361958019425,0.9988958602126737,0.023204213005523944,0.19784864023741555,0.0,0.0,0.0,0.24525541545551294
1714581008202188315,37266,1714581007550214991,robot/map,,1.175552939075732,1.3438433184825593,0.0,0.0,0.0,0.048251131361840775,0.9988352358233576,0.02579545555276877,0.21185777976870757,0.0,0.0,0.0,0.24994907090243537
